Exp6,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.49,2.141,0.573,0.109,0.08,0.066,0.1,0.248,0.151,0.11,0.087,0.167,405
B,1.837,1.543,0.855,0.076,0.077,0.084,0.076,0.389,0.097,0.113,0.116,0.095,405
C,1.197,1.024,0.465,0.284,0.122,0.099,0.086,0.246,0.411,0.137,1.567,0.105,405
D,0.615,0.516,0.669,0.09,0.077,0.143,0.091,0.338,0.136,0.109,0.183,0.146,405
E,0.409,0.332,0.603,0.116,0.1,0.24,0.093,0.269,0.301,0.132,2.596,0.108,405
F,1.384,1.38,0.875,0.188,0.083,0.347,0.074,0.414,0.177,0.115,1.011,0.104,405
G,0.321,0.31,0.14,0.073,0.176,0.071,0.077,0.141,0.105,0.139,0.104,0.098,405
H,0.079,0.076,0.082,0.082,0.124,0.08,0.092,0.104,0.152,0.132,0.11,0.093,405
