Exp7,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.529,2.466,0.188,0.105,0.085,0.067,0.138,1.325,0.718,0.51,0.169,0.963,405
B,1.955,1.668,0.281,0.071,0.076,0.08,0.075,1.813,0.361,0.196,0.458,0.103,405
C,1.203,1.121,0.204,0.536,0.139,0.336,0.086,1.35,1.479,0.773,0.667,0.191,405
D,0.645,0.628,0.147,0.112,0.098,0.11,0.088,1.568,0.438,0.382,0.421,0.183,405
E,0.418,0.413,0.175,0.117,0.104,0.509,0.09,1.485,0.438,0.395,1.13,0.112,405
F,1.532,1.494,0.195,0.164,0.092,0.362,0.075,1.8,1.097,0.317,1.257,0.107,405
G,0.393,0.352,0.091,0.082,0.172,0.079,0.076,0.958,0.266,0.966,0.105,0.111,405
H,0.077,0.077,0.08,0.09,0.092,0.078,0.08,0.147,0.335,0.342,0.11,0.096,405
