Exp4,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.331,2.084,0.158,0.185,0.112,0.071,0.106,0.152,0.17,0.106,0.079,0.19,405
B,1.691,1.615,0.37,0.08,0.12,0.099,0.076,0.247,0.1,0.12,0.103,0.084,405
C,1.13,1.041,0.105,0.626,0.116,0.222,0.078,0.14,0.675,0.171,0.224,0.092,405
D,0.528,0.57,0.219,0.141,0.095,0.139,0.141,0.237,0.172,0.119,0.204,0.114,405
E,0.379,0.364,0.137,0.176,0.127,0.518,0.091,0.158,0.26,0.148,0.418,0.096,405
F,1.4,1.412,0.236,0.253,0.103,0.709,0.077,0.274,0.132,0.135,0.525,0.088,405
G,0.291,0.28,0.102,0.107,0.128,0.105,0.077,0.129,0.118,0.142,0.106,0.087,405
H,0.073,0.078,0.084,0.115,0.129,0.089,0.081,0.099,0.168,0.117,0.089,0.101,405
