Exp9,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.312,2.053,0.427,0.106,0.135,0.074,0.161,0.762,0.185,0.244,0.078,0.25,405
B,1.758,1.554,0.808,0.076,0.082,0.101,0.075,1.214,0.108,0.091,0.138,0.073,405
C,1.117,0.973,0.403,1.005,0.139,0.642,0.096,0.794,1.296,0.296,0.146,0.089,405
D,0.619,0.573,0.691,0.131,0.094,0.152,0.12,0.99,0.261,0.136,0.145,0.117,405
E,0.36,0.406,0.415,0.127,0.115,1.01,0.094,0.841,0.148,0.141,0.341,0.086,405
F,1.463,1.452,0.675,0.143,0.101,0.634,0.078,1.205,0.439,0.154,0.678,0.071,405
G,0.376,0.345,0.316,0.126,0.139,0.085,0.088,0.544,0.113,0.37,0.081,0.07,405
H,0.075,0.077,0.078,0.134,0.121,0.083,0.086,0.081,0.171,0.113,0.091,0.072,405
