Exp8,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.386,2.127,0.276,0.268,0.28,0.089,0.53,0.184,0.089,0.114,0.065,0.09,405
B,1.669,1.57,0.562,0.102,0.139,0.138,0.109,0.262,0.078,0.074,0.072,0.07,405
C,1.158,1.134,0.22,1.167,0.238,0.395,0.172,0.219,0.391,0.112,0.309,0.092,405
D,0.568,0.558,0.445,0.241,0.159,0.449,0.209,0.211,0.102,0.087,0.219,0.088,405
E,0.405,0.382,0.219,0.268,0.198,0.532,0.128,0.188,0.124,0.115,0.364,0.091,405
F,1.494,1.485,0.545,0.39,0.171,1.059,0.116,0.261,0.117,0.081,0.247,0.073,405
G,0.278,0.333,0.199,0.11,0.231,0.11,0.113,0.101,0.074,0.097,0.075,0.078,405
H,0.08,0.082,0.116,0.228,0.171,0.102,0.12,0.084,0.123,0.102,0.072,0.079,405
