plate1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.085020524,0.070018046,0.077347011,0.072985554,0.076163236,0.081312846,0.074977064,0.067996369,0.072554472,0.085848212,0.081620525,0.093042973
B,0.065801918,0.068591717,0.069584189,0.074870405,0.066398654,0.067099714,0.072645085,0.07250074,0.068986735,0.071391481,0.074000346,0.085431274
C,0.077572308,0.074973835,0.080104613,0.069326548,0.080448551,0.07334606,0.077534463,0.069416288,0.067630354,0.07438942,0.065271203,0.077313392
D,0.071848512,0.069568078,0.074743141,0.068000224,0.071424527,0.069259274,0.071474837,0.075083018,0.075745172,0.069658725,0.079051214,0.081530935
E,0.069592024,0.073611351,0.071132566,0.071377739,0.067386651,0.075003471,0.080242786,0.073219869,0.071752688,0.071946319,0.076789405,0.074228398
F,0.092906084,0.104388878,0.094250291,0.07402639,0.07634017,0.070563592,0.067197374,0.072270937,0.074207664,0.071215445,0.07301407,0.072655366
G,0.078782578,0.081430808,0.072033307,0.075280111,0.080501508,0.075894448,0.073870048,0.072150733,0.076221894,0.089920596,0.075665262,0.079714008
H,0.079066285,0.077000013,0.082268655,0.227223194,0.275222161,0.2146738,0.094655497,0.081983181,0.084300834,0.091637985,0.096338383,0.097500349
