Exp3,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.342,2.189,0.113,0.078,0.076,0.065,0.088,0.487,0.211,0.122,0.072,0.111,405
B,1.73,1.696,0.146,0.074,0.078,0.073,0.078,0.746,0.116,0.098,0.101,0.079,405
C,1.135,1.076,0.108,0.125,0.083,0.109,0.095,0.487,0.817,0.166,1.64,0.085,405
D,0.567,0.604,0.133,0.082,0.087,0.095,0.105,0.744,0.14,0.118,0.139,0.113,405
E,0.393,0.374,0.132,0.169,0.111,0.215,0.094,0.534,0.199,0.141,2.646,0.092,405
F,1.417,1.423,0.157,0.129,0.084,0.338,0.082,0.899,0.3,0.114,1.557,0.085,405
G,0.338,0.295,0.092,0.081,0.092,0.078,0.079,0.231,0.155,0.208,0.091,0.087,405
H,0.076,0.078,0.081,0.09,0.094,0.085,0.128,0.112,0.151,0.125,0.084,0.087,405
