Exp10,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.32,2.058,0.245,0.124,0.115,0.084,0.102,0.183,0.123,0.107,0.104,0.072,405
B,1.69,1.484,0.467,0.103,0.125,0.113,0.079,0.471,0.084,0.086,0.094,0.073,405
C,1.078,0.985,0.234,0.523,0.171,1.053,0.082,0.192,0.308,0.121,0.903,0.112,405
D,0.577,0.569,0.385,0.176,0.112,0.179,0.196,0.354,0.106,0.088,0.161,0.103,405
E,0.364,0.431,0.244,0.199,0.14,1.706,0.097,0.214,0.174,0.105,1.597,0.083,405
F,1.502,1.483,0.469,0.178,0.129,0.8,0.086,0.443,0.116,0.081,0.524,0.087,405
G,0.328,0.312,0.15,0.117,0.155,0.098,0.081,0.127,0.09,0.103,0.094,0.084,405
H,0.078,0.076,0.09,0.144,0.133,0.095,0.086,0.082,0.096,0.099,0.084,0.075,405
