Exp5,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.471,2.372,0.175,0.096,0.072,0.061,0.115,0.181,0.088,0.08,0.059,0.094,405
B,1.853,1.654,0.228,0.071,0.073,0.082,0.073,0.261,0.087,0.068,0.071,0.073,405
C,1.194,1.159,0.258,0.197,0.077,1.194,0.08,0.181,0.739,0.141,0.134,0.084,405
D,0.675,0.632,0.128,0.077,0.073,0.118,0.086,0.313,0.124,0.085,0.226,0.093,405
E,0.411,0.409,0.162,0.142,0.086,1.798,0.088,0.162,0.104,0.104,0.139,0.08,405
F,1.321,1.355,0.197,0.093,0.073,0.772,0.073,0.449,0.136,0.079,0.218,0.077,405
G,0.378,0.363,0.084,0.074,0.099,0.07,0.072,0.105,0.081,0.101,0.076,0.074,405
H,0.078,0.081,0.078,0.084,0.087,0.083,0.081,0.079,0.089,0.09,0.067,0.073,405
