Exp2,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.419,2.266,0.253,0.103,0.119,0.071,0.074,0.121,0.242,0.109,0.074,0.611,405
B,1.725,1.655,0.46,0.076,0.088,0.111,0.069,0.182,0.105,0.109,0.093,0.1,405
C,1.118,1.092,0.211,0.784,0.116,0.805,0.07,0.14,0.24,0.117,0.162,0.353,405
D,0.537,0.564,0.621,0.189,0.096,0.101,0.083,0.18,0.123,0.129,0.262,0.128,405
E,0.393,0.392,0.193,0.248,0.138,2.017,0.087,0.177,0.197,0.148,0.427,0.091,405
F,1.423,1.418,0.607,0.148,0.088,0.582,0.07,0.188,0.175,0.121,0.472,0.082,405
G,0.303,0.359,0.205,0.08,0.146,0.074,0.07,0.13,0.112,0.158,0.09,0.083,405
H,0.078,0.078,0.078,0.238,0.353,0.077,0.078,0.098,0.118,0.133,0.093,0.09,405
